#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
   -0.674     0.055     -4.94     0.064   -0.7777     0.046   -4.8791     0.048
    0.758     0.029    -1.016     0.043   -1.1084    0.0617   -1.3942    0.0603
    3.916      0.03     1.517      0.04    3.0037    0.0732    2.4671    0.0826
    12.71     0.036    -1.531     0.042    12.632    0.0648   -1.5766    0.0687
   102.69     0.069    89.749     0.079    102.33    0.0529    89.911    0.0577
    5.935     0.042    -1.765     0.065     6.333    0.0729   -2.6886    0.0764
   27.466     0.257   -10.796     0.276    27.495    0.0445   -11.542    0.0508
   27.472     0.116   -12.322     0.133    27.412    0.0492    -12.19    0.0494
    7.212     0.044     0.085      0.05    7.2237    0.0815     2.435    0.0938
    2.391      0.04     7.017     0.045    2.7839    0.0672    8.7892    0.1094
    5.481     0.044     4.063     0.053    5.4553    0.0609    4.1512    0.0735
     7.19     0.076    17.616     0.083    7.1458    0.0541    17.794    0.0575
   -2.002      0.05     3.212     0.054   -5.7852    0.0856    2.6998    0.0832
    6.988     0.045     6.492     0.052    7.6844    0.0762    7.3275    0.0808
    0.514     0.044    -0.871     0.049    0.2335    0.0616   -0.8771    0.0649
    5.117     0.034   -16.933     0.045    5.2321    0.0594   -16.778    0.0595
  -24.306     0.219   -180.17     0.195    -24.34    0.0454   -180.01    0.0506
    8.352     0.056    21.034     0.083    8.2751    0.0521    21.273    0.0601
   -8.574     0.024    -9.145     0.034   -8.6487    0.0495   -9.0295    0.0541
   -7.134     0.058   -16.872     0.063   -7.0897     0.051   -16.724    0.0503
   -0.196     0.026    -7.178     0.027   -0.1222    0.1871   -7.4298    0.1811
   49.522     0.043    227.75     0.051    63.992    0.3955    234.56    0.4725
    8.313     0.036     6.694     0.044    8.1009    0.1381    7.5647     0.133
   11.268     0.095    -13.61     0.121    11.104    0.0473   -13.482    0.0494
   -1.355     0.033    -6.665     0.051   -1.4004    0.0542   -6.4866    0.0679
   13.523     0.034     8.213     0.048     13.89    0.0798    8.3701    0.0864
   -0.706     0.105   -11.563     0.146   -0.1636    0.0501   -10.233    0.0566
    1.786     0.032     -4.39     0.039    1.7297    0.0648     -4.09    0.0719
   -0.645     0.041    -6.648     0.068   -0.7026    0.0466   -6.6853     0.059
  -12.958      0.09    25.225     0.091   -13.103    0.0659    25.789    0.0856
   -1.384     0.034    -9.241     0.046   -1.2495    0.0757   -9.1243    0.0789
    7.397     0.035    -0.585     0.061    7.2248    0.0634   -0.3484    0.0773
  -20.135     0.099    11.032     0.118   -20.186    0.0414    11.161    0.0489
    -0.64     0.057    -1.691     0.059   -0.8144    0.0401   -1.6135    0.0394
   -5.372      0.04    -9.999     0.053   -5.4379    0.0435   -9.8574    0.0551
   -0.094     0.024    -3.399     0.037    0.2005    0.1054    -2.784    0.1013
   14.658      0.05     3.481     0.067     14.73     0.045    3.7342    0.0582
    0.284     0.025   -11.691     0.027    0.2299    0.0545   -11.464     0.056
   19.211      0.03     11.67     0.038    18.676    0.0556    11.912    0.0579
   10.105     0.032    22.048     0.039     9.941    0.0459    22.153    0.0595
  -13.164     0.056   -52.985     0.079   -13.247    0.0486   -53.056    0.0549
   -5.107     0.057    -5.704     0.076   -5.1717     0.044    -5.659     0.053
    5.265     0.031    -3.662     0.039    6.7494     0.074   -3.6192    0.0789
    1.684     0.057     0.716     0.066    1.5217    0.0565    0.8005    0.0663
    9.528     0.072     -9.69      0.08    9.5583    0.0546   -9.5121    0.0572
    4.492     0.059   -42.254      0.09     4.421    0.0415   -42.261    0.0517
   -9.436     0.057    -1.884     0.072   -9.4647    0.0431   -1.8506    0.0554
  -73.923     0.036   -157.56     0.056   -74.105    0.0408   -157.33    0.0546
    3.287     0.036    -2.179     0.051    5.7078    0.0736   -0.3074    0.0951
     0.62     0.034    -7.845      0.04     0.343     0.074    -7.618     0.077
    2.966     0.049   -15.365     0.065    2.6741    0.0749   -15.229    0.0771
    -1.16     0.081   -18.881     0.085   -1.2531    0.0479     -18.8    0.0504
   35.134     0.061   -50.695     0.094    34.966    0.0411   -50.661    0.0488
   29.268     0.019    19.035     0.033    29.086    0.0426    19.233    0.0504
    5.003     0.027   -20.969     0.048    4.8589    0.0518   -20.804      0.06
   -1.868      0.02    -18.46     0.034   -1.9911    0.0393   -18.189    0.0455
   -1.773     0.081    -6.733     0.122   -1.9536    0.0529   -6.1122    0.0578
    1.698     0.059    -1.245      0.11      1.72    0.0405   -1.1421    0.0489
    -5.95     0.068   -21.485     0.071   -6.1401    0.0445   -21.464    0.0456
   -2.096     0.094     -8.66     0.108   -2.2409    0.0993    -8.844    0.0811
   -5.783     0.107    -8.817     0.112   -5.7929    0.0481   -8.7606     0.045
   14.775     0.027    17.701      0.03    14.822    0.1363    13.554    0.1439
     59.7     0.019    36.413     0.028    59.568    0.0498    36.721    0.0541
   -1.291     0.064    -5.394     0.063   -1.2248    0.0647   -5.3077    0.0614
    7.192     0.033   -10.308     0.037    7.1699    0.0623   -10.155    0.0745
    5.218     0.028     3.379      0.03    5.4787    0.0883    3.5984     0.084
   -0.719     0.023    -8.729     0.039   -0.5957    0.0672   -8.4497    0.0794
    4.037     0.022    -1.281     0.026    4.0721    0.1104   -1.1042    0.1036
   -0.507     0.029   -43.657     0.033   -0.5728    0.0505   -43.439    0.0504
    9.542     0.034    -5.996     0.056      9.58    0.0538   -5.9395    0.0609
    9.233     0.038    18.048     0.041     9.267    0.0701    18.293    0.0716
  -32.789     0.093   -10.614     0.114   -32.987    0.0454   -10.323    0.0498
   18.014     0.045     6.093      0.05    17.754    0.0685    6.2602     0.072
   -0.541     0.034   -14.935     0.047   -0.5972    0.0736   -15.715    0.0959
   -14.78     0.087   -22.406     0.104   -14.901    0.0373   -22.067    0.0439
    4.407      0.04   -14.714     0.049    4.3831    0.0529   -14.531    0.0571
    0.179     0.045    -0.148     0.049    0.1855    0.0667   -0.0176    0.0727
    18.12     0.056     13.57     0.073    17.969    0.0528    13.644    0.0552
  -31.608     0.021   -81.065      0.03   -31.499    0.0445   -80.782    0.0464
   -2.796     0.049     -16.3     0.065   -3.3705    0.0613   -16.199    0.0576
    8.451     0.034   -16.984     0.057    8.7643    0.5367   -18.455    0.5347
    0.569     0.029      5.79     0.027    0.5986    0.0487    5.9001    0.0549
   -1.123     0.026      5.77     0.047   -1.2018    0.0564    5.7454    0.0576
  -15.453     0.054   -27.648      0.06   -15.594    0.0508   -27.358    0.0597
   21.439     0.024    12.699     0.032     21.37    0.0529    12.752    0.0583
   -1.098     0.048    -3.981     0.059   -1.2478    0.0577   -4.1991    0.0675
   15.411     0.031     4.335     0.052    15.863     0.089    6.5979    0.1102
  -98.016     0.035    51.844     0.044   -98.311    0.0457    51.947    0.0527
    2.748      0.07    -4.826     0.075    2.8391    0.0533    -4.308    0.0681
   -3.504      0.15    -4.488     0.184   -3.5759    0.0444   -4.3365    0.0494
   -2.458     0.042   -17.924     0.047   -2.3264    0.0495   -17.876    0.0518
